,User,Tweet
0,pyrosvestiki,"Κατά το τελευταίο 24ωρο κληθήκαμε
να επέμβουμε σε:
 8⃣1⃣ αστικές 🏘️ #πυρκαγιές
 3⃣ δασικές 🌲 #πυρκαγιές
 5⃣1⃣ παροχές 🆘 βοηθείας https://t.co/ExHXy6CnXq"
1,pyrosvestiki,Ολοκληρώθηκε κατάσβεση #πυρκαγιάς σε οικία επί της οδού Αγ. Άννης στο δήμο Αθηναίων. Επιχείρησαν 13 #πυροσβέστες με 4 οχήματα.
2,pyrosvestiki,"Με ελικόπτερο του Πυροσβεστικού Σώματος πραγματοποιήθηκε αεροδιακομιδή του ΕΚΑΒ, ενός άνδρα και μίας γυναίκας από Νάξο και Κίμωλο αντίστοιχα, για Αθήνα. https://t.co/B1BAgWoood"
3,pyrosvestiki,"Με τη χρήση διασωστικής σειράς απεγκλωβίστηκε τραυματίας ηλικιωμένος, έπειτα από καταπλάκωσή του από δέντρο και παρελήφθη από ασθενοφόρο του Ε.Κ.Α.Β., στην Κάτω Επισκοπή, στη #Σητεία Κρήτης. Επιχείρησαν 4 #πυροσβέστες με 2 οχήματα."
4,pyrosvestiki,"#ΣανΣήμερα, στις 11 Ιανουαρίου 1944, έχασε την ζωή του ο Πυροσβέστης Αναστάσιος Φωτεινόπουλος, κατά τους αεροπορικούς βομβαρδισμούς του Πειραιά, ενώ συμμετείχε σε κατάσβεση πυρκαγιάς. Είχε γεννηθεί στον Πειραιά και είχε καταταχθεί στο Πυροσβεστικό Σώμα το 1938. #ΔενΞεχνάμε. https://t.co/QnoMLvZrHN"
5,pyrosvestiki,"Κατά το τελευταίο 24ωρο κληθήκαμε
να επέμβουμε σε:
 7⃣1⃣ αστικές 🏘️ #πυρκαγιές
 0⃣8⃣ δασικές 🌲 #πυρκαγιές
 8⃣6⃣ παροχές 🆘 βοηθείας https://t.co/Vn1UJxB6zY"
6,pyrosvestiki,Κατεσβέσθη #πυρκαγιά σε μονοκατοικία στην Ανατολή Ιωαννίνων. Επιχείρησαν 8 #πυροσβέστες με 3 🚒οχήματα.
7,pyrosvestiki,Κατεσβέσθη #πυρκαγιά σε δώμα πολυκατοικίας επί της οδού Γ. Καραΐσκάκη  στην Πάτρα. Επιχείρησαν 9 #πυροσβέστες με 3 🚒οχήματα.
8,pyrosvestiki,"Κατεσβέσθη #πυρκαγιά σε Ε.Ι.Χ. αυτοκίνητο, επί της παραπλεύρου  Εσωτερικής Περιφερειακής οδού Θεσσαλονίκης (Κόμβος Καυταντζογλείου), στην Τριανδρία Θεσσαλονίκης. Επιχείρησαν 6 #πυροσβέστες με 2 οχήματα."
9,pyrosvestiki,"Κατεσβέσθη #πυρκαγιά σε διώροφη κατοικία, στην Τ.Κ. Βραστάμων του δήμου Πολυγύρου Χαλκιδικής. Επιχείρησαν 11 #πυροσβέστες με 4 οχήματα ενώ ηλικιωμένος #απεγκλωβίστηκε και παραδόθηκε στο ΕΚΑΒ."
